사건의 지평선,윤하 (YOUNHA)
ANTIFRAGILE,LE SSERAFIM (르세라핌)
Nxde,(여자)아이들
Hype boy,NewJeans
After LIKE,IVE (아이브)
새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
사랑은 늘 도망가,임영웅
Rush Hour (Feat. j-hope of BTS),Crush
Attention,NewJeans
우리들의 블루스,임영웅
Monologue,테이
London Boy,임영웅
Polaroid,임영웅
다시 만날 수 있을까,임영웅
LOVE DIVE,IVE (아이브)
Shut Down,BLACKPINK
무지개,임영웅
이제 나만 믿어요,임영웅
아버지,임영웅
Pink Venom,BLACKPINK
자격지심 (Feat. ZICO),BE'O (비오)
A bientot,임영웅
손이 참 곱던 그대,임영웅
인생찬가,임영웅
사랑해 진짜,임영웅
연애편지,임영웅
딱 10CM만,10CM
해요 (2022),#안녕
그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
TOMBOY,(여자)아이들
우린 그렇게 사랑해서,강민경 (다비치)
사랑인가 봐,멜로망스
그라데이션,10CM
보금자리,임영웅
내가 아니라도,주호
Cookie,NewJeans
너의 모든 순간,성시경
FEARLESS,LE SSERAFIM (르세라핌)
정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
나의 X에게,경서
That That (prod. & feat. SUGA of BTS),싸이 (PSY)
보고싶었어,WSG워너비 (4FIRE)
ELEVEN,IVE (아이브)
취중고백,김민석 (멜로망스)
떠나보낼 준비해 둘걸 그랬어,임한별
That's Hilarious,Charlie Puth
다정히 내 이름을 부르면,경서예지
Dynamite,방탄소년단
내 기쁨은 너가 벤틀리를 끄는 거야,김승민
주저하는 연인들을 위해,잔나비
I Don't Think That I Like Her,Charlie Puth
LOVE me,BE'O (비오)
Left and Right (Feat. Jung Kook of BTS),Charlie Puth
FOREVER 1,소녀시대 (GIRLS' GENERATION)
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
새벽에 걸려온 너의 전화는,한동근
고백연습,경서
밤하늘의 별을(2020),경서
Love story,볼빨간사춘기
The Astronaut,진
LAW (Prod. Czaer),윤미래
SNEAKERS,ITZY (있지)
Butter,방탄소년단
STAY,The Kid LAROI
도깨비불 (Illusion),aespa
봄날,방탄소년단
첫사랑,백아
봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
Yet To Come,방탄소년단
사랑한다고 말해줘,탑현
Permission to Dance,방탄소년단
POP!,나연 (TWICE)
스티커 사진,21학번
내 손을 잡아,아이유
Feel My Rhythm,Red Velvet (레드벨벳)
그래서 그대는,이영현
그중에 그대를 만나,김호중
strawberry moon,아이유
신호등,이무진
INVU,태연 (TAEYEON)
MY BAG,(여자)아이들
통화연결음,보라미유
Off My Face,Justin Bieber
못해,김나영
드라마,아이유
바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈
Next Level,aespa
나의 목소리로,김호중
"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo
늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy)
나는 너였다,V.O.S
모든 계절은 너였다,길구봉구
Girls,aespa
DICE,NMIXX
GANADARA (Feat. 아이유),박재범
너를 생각해,주시크 (Joosiq)
인생은 뷰티풀,김호중
I Ain't Worried,OneRepublic
오르트구름,윤하 (YOUNHA)
